case_id,case_date,process_step,step_number,department,employee_id,priority,complexity,case_value,wait_time_min,cycle_time_min,total_time_min,start_time,end_time,error_count,rework_count,month,day_of_week
CASE-0004,2025-04-12,Assembly,4,Production,MFG_P01,Standard,3,741.17,52.7,108.2,160.9,2025-04-12 21:41,2025-04-12 23:29,0,0,4,Saturday
CASE-0004,2025-04-12,Quality Control,5,Quality,MFG_Q01,Standard,3,741.17,30.3,50.8,81.1,2025-04-13 00:00,2025-04-13 00:50,0,0,4,Saturday
CASE-0004,2025-04-12,Finishing & Packaging,6,Finishing,MFG_F01,Standard,3,741.17,19.2,68.4,87.6,2025-04-13 01:10,2025-04-13 02:18,0,0,4,Saturday
CASE-0004,2025-04-12,Final Inspection,7,Quality,MFG_Q02,Standard,3,741.17,0.0,25.4,25.4,2025-04-13 02:18,2025-04-13 02:43,0,0,4,Saturday
CASE-0004,2025-04-12,Warehouse Storage,8,Warehouse,MFG_W01,Standard,3,741.17,13.4,25.9,39.3,2025-04-13 02:57,2025-04-13 03:23,0,0,4,Saturday
CASE-0005,2025-06-24,Material Receiving,1,Receiving,MFG_R02,Express,4,3766.85,0.0,31.6,31.6,2025-06-24 08:43,2025-06-24 09:14,0,0,6,Tuesday
CASE-0005,2025-06-24,Material Inspection,2,Quality,MFG_Q03,Express,4,3766.85,9.1,12.7,21.8,2025-06-24 09:23,2025-06-24 09:36,0,0,6,Tuesday
CASE-0005,2025-06-24,Pre-Processing,3,Production,MFG_P05,Express,4,3766.85,19.4,53.7,73.1,2025-06-24 09:55,2025-06-24 10:49,0,0,6,Tuesday
CASE-0005,2025-06-24,Assembly,4,Production,MFG_P01,Express,4,3766.85,30.3,82.0,112.3,2025-06-24 11:19,2025-06-24 12:41,0,0,6,Tuesday
CASE-0005,2025-06-24,Quality Control,5,Quality,MFG_Q03,Express,4,3766.85,30.9,21.9,52.8,2025-06-24 13:12,2025-06-24 13:34,0,0,6,Tuesday
CASE-0005,2025-06-24,Finishing & Packaging,6,Finishing,MFG_F02,Express,4,3766.85,8.3,36.3,44.6,2025-06-24 13:42,2025-06-24 14:19,0,0,6,Tuesday
CASE-0005,2025-06-24,Final Inspection,7,Quality,MFG_Q03,Express,4,3766.85,5.9,10.3,16.2,2025-06-24 14:25,2025-06-24 14:35,0,0,6,Tuesday
CASE-0005,2025-06-24,Warehouse Storage,8,Warehouse,MFG_W02,Express,4,3766.85,13.6,13.8,27.4,2025-06-24 14:49,2025-06-24 15:02,0,0,6,Tuesday
CASE-0006,2025-01-05,Material Receiving,1,Receiving,MFG_R01,Standard,1,4927.34,0.0,31.3,31.3,2025-01-05 08:59,2025-01-05 09:30,0,0,1,Sunday
CASE-0006,2025-01-05,Material Inspection,2,Quality,MFG_Q01,Standard,1,4927.34,10.3,16.2,26.5,2025-01-05 09:40,2025-01-05 09:56,0,0,1,Sunday
CASE-0006,2025-01-05,Pre-Processing,3,Production,MFG_P05,Standard,1,4927.34,22.5,39.2,61.7,2025-01-05 10:19,2025-01-05 10:58,0,0,1,Sunday
CASE-0006,2025-01-05,Assembly,4,Production,MFG_P04,Standard,1,4927.34,35.8,22.8,58.6,2025-01-05 11:34,2025-01-05 11:57,0,0,1,Sunday
CASE-0006,2025-01-05,Quality Control,5,Quality,MFG_Q03,Standard,1,4927.34,6.7,37.2,43.9,2025-01-05 12:03,2025-01-05 12:41,0,0,1,Sunday
CASE-0006,2025-01-05,Finishing & Packaging,6,Finishing,MFG_F01,Standard,1,4927.34,13.4,12.4,25.8,2025-01-05 12:54,2025-01-05 13:06,0,0,1,Sunday
CASE-0006,2025-01-05,Final Inspection,7,Quality,MFG_Q03,Standard,1,4927.34,3.6,8.9,12.5,2025-01-05 13:10,2025-01-05 13:19,0,0,1,Sunday
CASE-0006,2025-01-05,Warehouse Storage,8,Warehouse,MFG_W02,Standard,1,4927.34,9.5,15.1,24.6,2025-01-05 13:28,2025-01-05 13:43,0,0,1,Sunday
CASE-0007,2025-04-23,Material Receiving,1,Receiving,MFG_R01,Standard,2,1162.25,0.0,44.4,44.4,2025-04-23 15:28,2025-04-23 16:12,0,0,4,Wednesday
CASE-0007,2025-04-23,Material Inspection,2,Quality,MFG_Q03,Standard,2,1162.25,19.2,27.299999999999997,46.5,2025-04-23 16:31,2025-04-23 16:58,0,1,4,Wednesday
CASE-0007,2025-04-23,Pre-Processing,3,Production,MFG_P01,Standard,2,1162.25,37.4,73.3,110.7,2025-04-23 17:36,2025-04-23 18:49,0,0,4,Wednesday
CASE-0007,2025-04-23,Assembly,4,Production,MFG_P02,Standard,2,1162.25,61.3,96.7,158.0,2025-04-23 19:50,2025-04-23 21:27,0,0,4,Wednesday
CASE-0007,2025-04-23,Quality Control,5,Quality,MFG_Q03,Standard,2,1162.25,42.8,20.4,63.2,2025-04-23 22:10,2025-04-23 22:30,0,0,4,Wednesday
CASE-0007,2025-04-23,Finishing & Packaging,6,Finishing,MFG_F03,Standard,2,1162.25,24.2,74.5,98.7,2025-04-23 22:55,2025-04-24 00:09,0,0,4,Wednesday
CASE-0007,2025-04-23,Final Inspection,7,Quality,MFG_Q02,Standard,2,1162.25,8.0,17.8,25.8,2025-04-24 00:17,2025-04-24 00:35,0,0,4,Wednesday
CASE-0007,2025-04-23,Warehouse Storage,8,Warehouse,MFG_W01,Standard,2,1162.25,13.5,23.5,37.0,2025-04-24 00:48,2025-04-24 01:12,0,0,4,Wednesday
CASE-0008,2025-06-18,Material Receiving,1,Receiving,MFG_R03,Standard,1,2361.77,0.0,28.5,28.5,2025-06-18 13:22,2025-06-18 13:50,0,0,6,Wednesday
CASE-0008,2025-06-18,Material Inspection,2,Quality,MFG_Q02,Standard,1,2361.77,5.0,22.3,27.3,2025-06-18 13:55,2025-06-18 14:17,0,0,6,Wednesday
CASE-0008,2025-06-18,Pre-Processing,3,Production,MFG_P02,Standard,1,2361.77,8.8,65.0,73.8,2025-06-18 14:26,2025-06-18 15:31,0,0,6,Wednesday
CASE-0008,2025-06-18,Assembly,4,Production,MFG_P04,Standard,1,2361.77,15.8,73.8,89.6,2025-06-18 15:47,2025-06-18 17:01,0,0,6,Wednesday
CASE-0008,2025-06-18,Quality Control,5,Quality,MFG_Q01,Standard,1,2361.77,27.8,10.9,38.7,2025-06-18 17:29,2025-06-18 17:39,0,0,6,Wednesday
CASE-0008,2025-06-18,Finishing & Packaging,6,Finishing,MFG_F03,Standard,1,2361.77,15.3,48.1,63.4,2025-06-18 17:55,2025-06-18 18:43,0,0,6,Wednesday
CASE-0008,2025-06-18,Final Inspection,7,Quality,MFG_Q03,Standard,1,2361.77,1.0,14.8,15.8,2025-06-18 18:44,2025-06-18 18:59,0,0,6,Wednesday
CASE-0008,2025-06-18,Warehouse Storage,8,Warehouse,MFG_W01,Standard,1,2361.77,10.3,24.8,35.1,2025-06-18 19:09,2025-06-18 19:34,0,0,6,Wednesday
CASE-0009,2025-02-12,Material Receiving,1,Receiving,MFG_R01,Standard,7,4330.02,0.0,29.2,29.2,2025-02-12 13:31,2025-02-12 14:00,0,0,2,Wednesday
CASE-0009,2025-02-12,Material Inspection,2,Quality,MFG_Q02,Standard,7,4330.02,29.9,28.0,57.9,2025-02-12 14:30,2025-02-12 14:58,0,0,2,Wednesday
CASE-0009,2025-02-12,Pre-Processing,3,Production,MFG_P06,Standard,7,4330.02,8.1,64.3,72.4,2025-02-12 15:06,2025-02-12 16:10,0,0,2,Wednesday
CASE-0009,2025-02-12,Assembly,4,Production,MFG_P06,Standard,7,4330.02,15.5,132.5,148.0,2025-02-12 16:26,2025-02-12 18:38,0,0,2,Wednesday
CASE-0009,2025-02-12,Quality Control,5,Quality,MFG_Q01,Standard,7,4330.02,33.9,22.0,55.9,2025-02-12 19:12,2025-02-12 19:34,0,0,2,Wednesday
CASE-0009,2025-02-12,Finishing & Packaging,6,Finishing,MFG_F03,Standard,7,4330.02,22.7,47.3,70.0,2025-02-12 19:57,2025-02-12 20:44,0,0,2,Wednesday
CASE-0009,2025-02-12,Final Inspection,7,Quality,MFG_Q01,Standard,7,4330.02,14.1,27.6,41.7,2025-02-12 20:58,2025-02-12 21:26,1,0,2,Wednesday
CASE-0009,2025-02-12,Warehouse Storage,8,Warehouse,MFG_W01,Standard,7,4330.02,8.8,18.2,27.0,2025-02-12 21:34,2025-02-12 21:53,0,0,2,Wednesday
CASE-0010,2025-01-15,Material Receiving,1,Receiving,MFG_R02,Express,5,389.18,0.0,39.4,39.4,2025-01-15 15:05,2025-01-15 15:44,0,0,1,Wednesday
CASE-0010,2025-01-15,Material Inspection,2,Quality,MFG_Q01,Express,5,389.18,8.7,38.3,47.0,2025-01-15 15:53,2025-01-15 16:31,0,0,1,Wednesday
CASE-0010,2025-01-15,Pre-Processing,3,Production,MFG_P01,Express,5,389.18,20.7,24.4,45.1,2025-01-15 16:52,2025-01-15 17:16,0,0,1,Wednesday
CASE-0010,2025-01-15,Assembly,4,Production,MFG_P05,Express,5,389.18,3.8,89.0,92.8,2025-01-15 17:20,2025-01-15 18:49,0,0,1,Wednesday
CASE-0010,2025-01-15,Quality Control,5,Quality,MFG_Q03,Express,5,389.18,11.7,27.8,39.5,2025-01-15 19:01,2025-01-15 19:28,0,0,1,Wednesday
CASE-0010,2025-01-15,Finishing & Packaging,6,Finishing,MFG_F02,Express,5,389.18,14.6,28.1,42.7,2025-01-15 19:43,2025-01-15 20:11,0,0,1,Wednesday
CASE-0010,2025-01-15,Final Inspection,7,Quality,MFG_Q02,Express,5,389.18,3.0,5.0,8.0,2025-01-15 20:14,2025-01-15 20:19,0,0,1,Wednesday
CASE-0010,2025-01-15,Warehouse Storage,8,Warehouse,MFG_W01,Express,5,389.18,5.0,23.4,28.4,2025-01-15 20:24,2025-01-15 20:47,0,0,1,Wednesday
CASE-0011,2025-01-03,Material Receiving,1,Receiving,MFG_R02,Rush,5,4980.68,0.0,7.2,7.2,2025-01-03 14:39,2025-01-03 14:46,0,0,1,Friday
CASE-0011,2025-01-03,Material Inspection,2,Quality,MFG_Q01,Rush,5,4980.68,11.0,16.9,27.9,2025-01-03 14:57,2025-01-03 15:14,0,0,1,Friday
CASE-0011,2025-01-03,Pre-Processing,3,Production,MFG_P02,Rush,5,4980.68,21.6,43.8,65.4,2025-01-03 15:35,2025-01-03 16:19,0,0,1,Friday
CASE-0011,2025-01-03,Assembly,4,Production,MFG_P03,Rush,5,4980.68,0.0,27.8,27.8,2025-01-03 16:19,2025-01-03 16:47,0,0,1,Friday
CASE-0011,2025-01-03,Quality Control,5,Quality,MFG_Q03,Rush,5,4980.68,17.0,20.7,37.7,2025-01-03 17:04,2025-01-03 17:25,0,0,1,Friday
CASE-0011,2025-01-03,Finishing & Packaging,6,Finishing,MFG_F03,Rush,5,4980.68,12.2,68.0,80.2,2025-01-03 17:37,2025-01-03 18:45,0,0,1,Friday
CASE-0011,2025-01-03,Final Inspection,7,Quality,MFG_Q01,Rush,5,4980.68,8.3,15.0,23.3,2025-01-03 18:53,2025-01-03 19:08,0,0,1,Friday
CASE-0011,2025-01-03,Warehouse Storage,8,Warehouse,MFG_W01,Rush,5,4980.68,10.2,17.6,27.8,2025-01-03 19:18,2025-01-03 19:36,0,0,1,Friday
CASE-0012,2025-03-11,Material Receiving,1,Receiving,MFG_R03,Standard,3,1747.26,0.0,43.3,43.3,2025-03-11 11:38,2025-03-11 12:21,0,0,3,Tuesday
CASE-0012,2025-03-11,Material Inspection,2,Quality,MFG_Q01,Standard,3,1747.26,38.0,13.4,51.4,2025-03-11 12:59,2025-03-11 13:12,0,0,3,Tuesday
CASE-0012,2025-03-11,Pre-Processing,3,Production,MFG_P03,Standard,3,1747.26,32.9,39.6,72.5,2025-03-11 13:45,2025-03-11 14:25,0,0,3,Tuesday
CASE-0012,2025-03-11,Assembly,4,Production,MFG_P02,Standard,3,1747.26,36.1,160.2,196.3,2025-03-11 15:01,2025-03-11 17:41,1,0,3,Tuesday
CASE-0012,2025-03-11,Quality Control,5,Quality,MFG_Q03,Standard,3,1747.26,26.8,24.6,51.4,2025-03-11 18:08,2025-03-11 18:32,0,0,3,Tuesday
CASE-0012,2025-03-11,Finishing & Packaging,6,Finishing,MFG_F03,Standard,3,1747.26,13.8,57.8,71.6,2025-03-11 18:46,2025-03-11 19:44,0,0,3,Tuesday
CASE-0012,2025-03-11,Final Inspection,7,Quality,MFG_Q03,Standard,3,1747.26,9.3,22.3,31.6,2025-03-11 19:53,2025-03-11 20:16,1,0,3,Tuesday
CASE-0012,2025-03-11,Warehouse Storage,8,Warehouse,MFG_W02,Standard,3,1747.26,13.2,23.1,36.3,2025-03-11 20:29,2025-03-11 20:52,0,0,3,Tuesday
CASE-0013,2025-05-30,Material Receiving,1,Receiving,MFG_R01,Standard,7,257.05,0.0,46.0,46.0,2025-05-30 15:09,2025-05-30 15:55,0,0,5,Friday
CASE-0013,2025-05-30,Material Inspection,2,Quality,MFG_Q01,Standard,7,257.05,23.5,38.4,61.9,2025-05-30 16:18,2025-05-30 16:56,0,0,5,Friday
CASE-0013,2025-05-30,Pre-Processing,3,Production,MFG_P05,Standard,7,257.05,14.0,65.8,79.8,2025-05-30 17:10,2025-05-30 18:16,0,0,5,Friday
CASE-0013,2025-05-30,Assembly,4,Production,MFG_P05,Standard,7,257.05,36.0,122.0,158.0,2025-05-30 18:52,2025-05-30 20:54,0,0,5,Friday
CASE-0013,2025-05-30,Quality Control,5,Quality,MFG_Q01,Standard,7,257.05,47.2,43.4,90.6,2025-05-30 21:41,2025-05-30 22:25,0,0,5,Friday
CASE-0013,2025-05-30,Finishing & Packaging,6,Finishing,MFG_F01,Standard,7,257.05,9.4,66.1,75.5,2025-05-30 22:34,2025-05-30 23:40,0,0,5,Friday
CASE-0013,2025-05-30,Final Inspection,7,Quality,MFG_Q03,Standard,7,257.05,23.6,43.2,66.8,2025-05-31 00:04,2025-05-31 00:47,0,1,5,Friday
CASE-0013,2025-05-30,Warehouse Storage,8,Warehouse,MFG_W02,Standard,7,257.05,5.4,27.6,33.0,2025-05-31 00:53,2025-05-31 01:20,0,0,5,Friday
CASE-0014,2025-06-21,Material Receiving,1,Receiving,MFG_R02,Standard,2,3521.33,0.0,47.3,47.3,2025-06-21 10:17,2025-06-21 11:04,0,0,6,Saturday
CASE-0014,2025-06-21,Material Inspection,2,Quality,MFG_Q02,Standard,2,3521.33,13.3,11.6,24.9,2025-06-21 11:17,2025-06-21 11:29,0,0,6,Saturday
CASE-0014,2025-06-21,Pre-Processing,3,Production,MFG_P02,Standard,2,3521.33,5.1,41.4,46.5,2025-06-21 11:34,2025-06-21 12:15,0,0,6,Saturday
CASE-0014,2025-06-21,Assembly,4,Production,MFG_P04,Standard,2,3521.33,0.0,46.9,46.9,2025-06-21 12:15,2025-06-21 13:02,0,0,6,Saturday
CASE-0014,2025-06-21,Quality Control,5,Quality,MFG_Q02,Standard,2,3521.33,36.5,37.1,73.6,2025-06-21 13:39,2025-06-21 14:16,0,0,6,Saturday
CASE-0014,2025-06-21,Finishing & Packaging,6,Finishing,MFG_F03,Standard,2,3521.33,12.5,27.8,40.3,2025-06-21 14:28,2025-06-21 14:56,0,0,6,Saturday
CASE-0014,2025-06-21,Final Inspection,7,Quality,MFG_Q01,Standard,2,3521.33,9.3,26.0,35.3,2025-06-21 15:05,2025-06-21 15:31,0,0,6,Saturday
CASE-0014,2025-06-21,Warehouse Storage,8,Warehouse,MFG_W01,Standard,2,3521.33,11.0,26.4,37.4,2025-06-21 15:42,2025-06-21 16:09,0,0,6,Saturday
CASE-0015,2025-05-29,Material Receiving,1,Receiving,MFG_R03,Standard,1,2201.09,0.0,40.8,40.8,2025-05-29 11:02,2025-05-29 11:42,0,0,5,Thursday
CASE-0015,2025-05-29,Material Inspection,2,Quality,MFG_Q03,Standard,1,2201.09,24.7,27.8,52.5,2025-05-29 12:07,2025-05-29 12:35,0,0,5,Thursday
CASE-0015,2025-05-29,Pre-Processing,3,Production,MFG_P04,Standard,1,2201.09,7.0,79.5,86.5,2025-05-29 12:42,2025-05-29 14:01,0,0,5,Thursday
CASE-0015,2025-05-29,Assembly,4,Production,MFG_P05,Standard,1,2201.09,33.2,183.8,217.0,2025-05-29 14:35,2025-05-29 17:38,1,0,5,Thursday
CASE-0015,2025-05-29,Quality Control,5,Quality,MFG_Q03,Standard,1,2201.09,34.2,34.2,68.4,2025-05-29 18:13,2025-05-29 18:47,0,0,5,Thursday
CASE-0015,2025-05-29,Finishing & Packaging,6,Finishing,MFG_F01,Standard,1,2201.09,23.0,45.6,68.6,2025-05-29 19:10,2025-05-29 19:55,0,0,5,Thursday
CASE-0015,2025-05-29,Final Inspection,7,Quality,MFG_Q03,Standard,1,2201.09,10.6,21.1,31.7,2025-05-29 20:06,2025-05-29 20:27,0,0,5,Thursday
CASE-0015,2025-05-29,Warehouse Storage,8,Warehouse,MFG_W02,Standard,1,2201.09,17.4,23.1,40.5,2025-05-29 20:44,2025-05-29 21:08,0,0,5,Thursday
CASE-0016,2025-05-10,Material Receiving,1,Receiving,MFG_R02,Standard,2,2041.88,0.0,34.4,34.4,2025-05-10 11:42,2025-05-10 12:16,0,0,5,Saturday
CASE-0016,2025-05-10,Material Inspection,2,Quality,MFG_Q03,Standard,2,2041.88,26.7,30.0,56.7,2025-05-10 12:43,2025-05-10 13:13,0,0,5,Saturday
CASE-0016,2025-05-10,Pre-Processing,3,Production,MFG_P03,Standard,2,2041.88,34.1,71.5,105.6,2025-05-10 13:47,2025-05-10 14:58,0,0,5,Saturday
CASE-0016,2025-05-10,Assembly,4,Production,MFG_P03,Standard,2,2041.88,28.9,107.2,136.1,2025-05-10 15:27,2025-05-10 17:14,0,0,5,Saturday
CASE-0016,2025-05-10,Quality Control,5,Quality,MFG_Q03,Standard,2,2041.88,35.0,40.6,75.6,2025-05-10 17:49,2025-05-10 18:30,0,0,5,Saturday
CASE-0016,2025-05-10,Finishing & Packaging,6,Finishing,MFG_F02,Standard,2,2041.88,19.3,49.6,68.9,2025-05-10 18:49,2025-05-10 19:39,0,0,5,Saturday
CASE-0016,2025-05-10,Final Inspection,7,Quality,MFG_Q02,Standard,2,2041.88,19.4,17.7,37.1,2025-05-10 19:58,2025-05-10 20:16,0,0,5,Saturday
CASE-0016,2025-05-10,Warehouse Storage,8,Warehouse,MFG_W01,Standard,2,2041.88,15.7,25.9,41.6,2025-05-10 20:32,2025-05-10 20:58,0,0,5,Saturday
CASE-0017,2025-06-18,Material Receiving,1,Receiving,MFG_R01,Standard,6,3183.06,0.0,41.4,41.4,2025-06-18 08:18,2025-06-18 08:59,0,0,6,Wednesday
CASE-0017,2025-06-18,Material Inspection,2,Quality,MFG_Q01,Standard,6,3183.06,11.6,28.1,39.7,2025-06-18 09:11,2025-06-18 09:39,0,0,6,Wednesday
CASE-0017,2025-06-18,Pre-Processing,3,Production,MFG_P04,Standard,6,3183.06,15.3,38.6,53.9,2025-06-18 09:54,2025-06-18 10:33,0,0,6,Wednesday
CASE-0017,2025-06-18,Assembly,4,Production,MFG_P04,Standard,6,3183.06,69.7,127.5,197.2,2025-06-18 11:42,2025-06-18 13:50,0,0,6,Wednesday
CASE-0017,2025-06-18,Quality Control,5,Quality,MFG_Q01,Standard,6,3183.06,0.0,22.1,22.1,2025-06-18 13:50,2025-06-18 14:12,0,0,6,Wednesday
CASE-0017,2025-06-18,Finishing & Packaging,6,Finishing,MFG_F02,Standard,6,3183.06,23.1,22.8,45.9,2025-06-18 14:35,2025-06-18 14:58,0,0,6,Wednesday
CASE-0017,2025-06-18,Final Inspection,7,Quality,MFG_Q01,Standard,6,3183.06,12.9,19.3,32.2,2025-06-18 15:11,2025-06-18 15:30,0,0,6,Wednesday
CASE-0017,2025-06-18,Warehouse Storage,8,Warehouse,MFG_W01,Standard,6,3183.06,5.5,21.2,26.7,2025-06-18 15:35,2025-06-18 15:57,0,0,6,Wednesday
CASE-0018,2025-04-19,Material Receiving,1,Receiving,MFG_R01,Express,4,3494.76,0.0,29.3,29.3,2025-04-19 10:11,2025-04-19 10:40,0,0,4,Saturday
CASE-0018,2025-04-19,Material Inspection,2,Quality,MFG_Q03,Express,4,3494.76,9.0,25.2,34.2,2025-04-19 10:49,2025-04-19 11:14,0,0,4,Saturday
CASE-0018,2025-04-19,Pre-Processing,3,Production,MFG_P03,Express,4,3494.76,23.2,44.8,68.0,2025-04-19 11:37,2025-04-19 12:22,0,0,4,Saturday
CASE-0018,2025-04-19,Assembly,4,Production,MFG_P05,Express,4,3494.76,27.0,111.8,138.8,2025-04-19 12:49,2025-04-19 14:41,0,0,4,Saturday
CASE-0018,2025-04-19,Quality Control,5,Quality,MFG_Q02,Express,4,3494.76,3.4,15.0,18.4,2025-04-19 14:44,2025-04-19 14:59,0,0,4,Saturday
CASE-0018,2025-04-19,Finishing & Packaging,6,Finishing,MFG_F01,Express,4,3494.76,9.9,38.2,48.1,2025-04-19 15:09,2025-04-19 15:47,0,0,4,Saturday
CASE-0018,2025-04-19,Final Inspection,7,Quality,MFG_Q02,Express,4,3494.76,12.0,24.8,36.8,2025-04-19 15:59,2025-04-19 16:24,0,0,4,Saturday
CASE-0018,2025-04-19,Warehouse Storage,8,Warehouse,MFG_W02,Express,4,3494.76,14.7,22.0,36.7,2025-04-19 16:39,2025-04-19 17:01,0,0,4,Saturday
CASE-0019,2025-05-14,Material Receiving,1,Receiving,MFG_R02,Standard,2,2227.37,0.0,40.9,40.9,2025-05-14 14:40,2025-05-14 15:20,0,0,5,Wednesday
CASE-0019,2025-05-14,Material Inspection,2,Quality,MFG_Q01,Standard,2,2227.37,29.7,33.7,63.4,2025-05-14 15:50,2025-05-14 16:24,0,0,5,Wednesday
CASE-0019,2025-05-14,Pre-Processing,3,Production,MFG_P02,Standard,2,2227.37,30.9,63.3,94.2,2025-05-14 16:55,2025-05-14 17:58,0,0,5,Wednesday
CASE-0019,2025-05-14,Assembly,4,Production,MFG_P04,Standard,2,2227.37,16.6,148.1,164.7,2025-05-14 18:15,2025-05-14 20:43,0,1,5,Wednesday
CASE-0019,2025-05-14,Quality Control,5,Quality,MFG_Q01,Standard,2,2227.37,21.9,39.0,60.9,2025-05-14 21:05,2025-05-14 21:44,0,0,5,Wednesday
CASE-0019,2025-05-14,Finishing & Packaging,6,Finishing,MFG_F03,Standard,2,2227.37,20.1,60.0,80.1,2025-05-14 22:04,2025-05-14 23:04,0,0,5,Wednesday
CASE-0019,2025-05-14,Final Inspection,7,Quality,MFG_Q03,Standard,2,2227.37,15.4,31.299999999999997,46.7,2025-05-14 23:19,2025-05-14 23:50,0,1,5,Wednesday
CASE-0019,2025-05-14,Warehouse Storage,8,Warehouse,MFG_W02,Standard,2,2227.37,24.4,46.2,70.6,2025-05-15 00:15,2025-05-15 01:01,0,1,5,Wednesday
